,RV_actual,RV_forecast
2016-04-21,5.285423401950513e-05,8.209724921005275e-05
2016-04-22,8.072922492451358e-05,7.731926664382075e-05
2016-04-25,6.615018032214572e-05,9.193757515881219e-05
2016-04-26,5.869506409109005e-05,9.097626735121624e-05
2016-04-27,9.747323108214564e-05,9.06547082948529e-05
2016-04-28,0.0001465823345763,9.462369917686021e-05
2016-04-29,9.49354636700917e-05,0.0001383928516684445
2016-05-02,0.000104971983643,0.00013605102221610741
2016-05-03,8.462797542712316e-05,0.00015267664789877022
2016-05-04,9.322932475882608e-05,0.0001627908597998263
2016-05-05,0.000171945087101,0.0001539008650978633
2016-05-06,0.0001157076251394,0.00015197152905907746
2016-05-09,9.4510263471692e-05,0.00014012302113938327
2016-05-10,0.0001286391088613,0.00012401250519942283
2016-05-11,0.0001351417803126,0.00012979470901688516
2016-05-12,0.0001523596039145,0.00014048882277399474
2016-05-13,3.2793535365183516e-05,0.00013786234173548533
2016-05-16,0.0001231298436432,0.0001245441805630101
2016-05-17,0.0001029839273537,0.00014434150588440005
2016-05-18,0.0001349743953929,0.00012831699883829466
2016-05-19,7.681011938012709e-05,0.0001437113814638594
2016-05-20,0.0001760648287833,0.00011881001669562943
2016-05-23,7.64855864400628e-05,0.00014746211547588429
2016-05-24,5.028443074957498e-05,0.00010873051411671639
2016-05-25,5.612715342291293e-05,9.23090885218294e-05
2016-05-26,2.638448316011813e-05,8.224747195380804e-05
2016-05-27,1.849976577056911e-05,7.660877324510085e-05
2016-05-30,5.5796352267937055e-05,6.465608583607174e-05
2016-05-31,7.276680411360176e-05,8.348145996903825e-05
2016-06-01,7.182857555068032e-05,0.00010698140025441601
2016-06-02,0.0001301422686445,0.00010123517488705796
2016-06-03,4.8077220532651975e-05,0.00012199508912052558
2016-06-06,5.437994494407601e-05,0.00011663790144689756
2016-06-07,5.3049697563391456e-05,0.00010490353614275401
2016-06-08,5.564130458406076e-05,0.00011146482341494482
2016-06-09,0.0001253277884836,0.00012543643574571684
2016-06-10,0.0001143422024297,0.00016853252409490776
2016-06-13,0.0001414033212355,0.00020458445140508134
2016-06-14,8.583610893609849e-05,0.0002534390203403845
2016-06-15,0.0001606533817775,0.00023362299632913972
2016-06-16,0.0001444261578035,0.0002615032069762585
2016-06-17,0.0001540148721645,0.00023871821179651204
2016-06-20,0.0001033818123089,0.0001985000891951462
2016-06-21,8.468976017806533e-05,0.00018265264834556826
2016-06-22,0.0003127041612844,0.0001899025776580461
2016-06-23,0.0062272572807869,0.00020066454645705222
2016-06-24,0.0003338888393461,0.0012969117167034947
2016-06-27,0.0001944522711404,0.0005483564930133719
2016-06-28,0.00012518008458,0.0005188158122223398
2016-06-29,0.0002244528483643,0.0004983499836296932
2016-06-30,0.0001329190567126,0.0004903175124227764
2016-07-01,5.95428722118083e-05,0.0001664637989406485
2016-07-04,9.953972764709518e-05,0.00014681632426614898
2016-07-05,0.0001444011275835,0.00015270258533672123
2016-07-06,0.0001058242641617,0.00016394482400286322
2016-07-07,0.0002152102266698,0.00014741125196597067
2016-07-08,0.0001163844818066,0.0001512987107197673
2016-07-11,8.607745962498945e-05,0.00014207829631763156
2016-07-12,0.000388668271507,0.0001335589499806881
2016-07-13,0.0001100427441462,0.00017162287882937285
2016-07-15,0.0001280119033764,0.0001423245995020842
2016-07-18,9.980837045345352e-05,0.0001388668236804391
2016-07-19,6.670098684778401e-05,0.00013675895724792007
2016-07-20,0.0001169894449479,0.00013050125560939472
2016-07-21,0.0001187004139295,0.00011656488554839171
2016-07-22,6.900010930245905e-05,0.00011565202164100695
2016-07-25,8.972933572017637e-05,0.00011258331699916355
2016-07-26,2.579181904093408e-05,0.00011451481048778418
2016-07-27,8.528859290513268e-05,0.00010961672751282023
2016-07-28,6.293501255894337e-05,0.00011431310676118383
2016-07-29,6.462306055668062e-05,0.0001066472558101823
