,RV_actual,RV_forecast
2016-04-21,5.285423401950513e-05,8.437562413584907e-05
2016-04-22,8.072922492451358e-05,8.832735459672356e-05
2016-04-25,6.615018032214572e-05,0.00010503139951791778
2016-04-26,5.869506409109005e-05,0.00010037366883849791
2016-04-27,9.747323108214564e-05,9.907555026271266e-05
2016-04-28,0.0001465823345763,0.00011708747858393625
2016-04-29,9.49354636700917e-05,0.00016072830993778546
2016-05-02,0.000104971983643,0.0001594111624129826
2016-05-03,8.462797542712316e-05,0.00016959370351482121
2016-05-04,9.322932475882608e-05,0.000191224594128606
2016-05-05,0.000171945087101,0.00017478699263656197
2016-05-06,0.0001157076251394,0.00016270163890177603
2016-05-09,9.4510263471692e-05,0.00015111999837008378
2016-05-10,0.0001286391088613,0.00011934107632820868
2016-05-11,0.0001351417803126,0.00011662068029123241
2016-05-12,0.0001523596039145,0.00014594089070093434
2016-05-13,3.2793535365183516e-05,0.00014843010487995182
2016-05-16,0.0001231298436432,0.0001389709210767406
2016-05-17,0.0001029839273537,0.00015112372952087453
2016-05-18,0.0001349743953929,0.00014815305138212863
2016-05-19,7.681011938012709e-05,0.00016827099802508078
2016-05-20,0.0001760648287833,0.00013649804017350767
2016-05-23,7.64855864400628e-05,0.00016616681749016032
2016-05-24,5.028443074957498e-05,0.00012434086125717443
2016-05-25,5.612715342291293e-05,9.398098111589707e-05
2016-05-26,2.638448316011813e-05,8.449126556046632e-05
2016-05-27,1.849976577056911e-05,9.163079141726994e-05
2016-05-30,5.5796352267937055e-05,7.507883377399317e-05
2016-05-31,7.276680411360176e-05,9.163785807568524e-05
2016-06-01,7.182857555068032e-05,0.0001289175447203688
2016-06-02,0.0001301422686445,0.00012196075544600654
2016-06-03,4.8077220532651975e-05,0.00013435904401697856
2016-06-06,5.437994494407601e-05,0.00012097063422747834
2016-06-07,5.3049697563391456e-05,0.00010343903292931221
2016-06-08,5.564130458406076e-05,0.00010944949029544296
2016-06-09,0.0001253277884836,0.00013490644935460004
2016-06-10,0.0001143422024297,0.0001768447462023402
2016-06-13,0.0001414033212355,0.00022590744787270327
2016-06-14,8.583610893609849e-05,0.000266757356049179
2016-06-15,0.0001606533817775,0.00022799704126054323
2016-06-16,0.0001444261578035,0.000263858710922281
2016-06-17,0.0001540148721645,0.00020522018117682044
2016-06-20,0.0001033818123089,0.00014945537027298626
2016-06-21,8.468976017806533e-05,0.00013246558829378723
2016-06-22,0.0003127041612844,0.0001366653434371231
2016-06-23,0.0062272572807869,0.0001421873237360892
2016-06-24,0.0003338888393461,0.0010973477767616466
2016-06-27,0.0001944522711404,0.0004613671115212955
2016-06-28,0.00012518008458,0.00039452105507671885
2016-06-29,0.0002244528483643,0.00035084967404777173
2016-06-30,0.0001329190567126,0.0003511102520276377
2016-07-01,5.95428722118083e-05,0.00019666372657140875
2016-07-04,9.953972764709518e-05,0.00017796983857432683
2016-07-05,0.0001444011275835,0.0002088406152021101
2016-07-06,0.0001058242641617,0.00023998169070739994
2016-07-07,0.0002152102266698,0.00022234599487092863
2016-07-08,0.0001163844818066,0.00022359938685490236
2016-07-11,8.607745962498945e-05,0.00019995502850930465
2016-07-12,0.000388668271507,0.00015884166211657357
2016-07-13,0.0001100427441462,0.0001862740655161769
2016-07-15,0.0001280119033764,0.00014463995607139134
2016-07-18,9.980837045345352e-05,0.00016592953731556765
2016-07-19,6.670098684778401e-05,0.00016535362838409056
2016-07-20,0.0001169894449479,0.00016485129145428712
2016-07-21,0.0001187004139295,0.00016613879866825645
2016-07-22,6.900010930245905e-05,0.00017722554784115502
2016-07-25,8.972933572017637e-05,0.00016971807868340234
2016-07-26,2.579181904093408e-05,0.00017317444967568322
2016-07-27,8.528859290513268e-05,0.00012276834343525052
2016-07-28,6.293501255894337e-05,0.00012711855079217387
2016-07-29,6.462306055668062e-05,0.00012151818563995901
2016-08-01,7.760070877525404e-05,0.00012738273985817187
2016-08-02,0.0001398654159485,0.00015630722947467926
2016-08-03,8.625829040102548e-05,0.00016709810314499604
2016-08-04,5.785184154315149e-05,0.00014236812125601774
2016-08-05,3.406973326692493e-05,0.0001250407145997664
2016-08-08,3.605884603883981e-05,0.0001155435533999922
2016-08-09,3.432785991894168e-05,0.00010107235378989431
2016-08-10,3.9251661079819115e-05,0.0001079729785328203
2016-08-11,2.968037518591873e-05,0.00010062828110132772
2016-08-12,2.5394121123613277e-05,0.00010469758566827568
2016-08-15,5.963779185506859e-05,0.00010535661868467593
2016-08-16,5.736011218866102e-05,0.0001248379380064809
2016-08-17,2.5329570015884297e-05,0.00013434072180067825
2016-08-18,6.045134694114589e-05,0.0001297343727549725
2016-08-19,0.0001042945784459,0.00013792417246573634
2016-08-22,5.734398764620082e-05,0.00015021267995646195
2016-08-23,4.740936069048123e-05,0.0001314301016491672
2016-08-24,6.05663111083877e-05,0.00012506756947172385
2016-08-25,0.00010750574774,0.0001294104609676556
2016-08-26,5.957542325528995e-05,0.0001294573311913432
2016-08-29,3.704278133236895e-05,0.00012559593066929732
2016-08-30,4.454777559691289e-05,0.00012023114214100122
2016-08-31,7.7816526383221e-05,0.0001190909540256515
2016-09-01,8.742737229184434e-05,0.00012012530887303731
2016-09-02,2.5489610935255814e-05,9.73644361862247e-05
2016-09-05,4.1245510140717344e-05,9.369786155376825e-05
2016-09-06,5.893333808257708e-05,0.00010584663599058798
2016-09-07,0.000116051764795,9.990000161404287e-05
2016-09-08,8.133020284784319e-05,0.00010306825074750452
2016-09-09,0.000109075711622,0.00012443832511304883
2016-09-12,7.609757110443477e-05,0.00016459799164882338
2016-09-13,7.668175510311387e-05,0.00014561677571279516
2016-09-14,7.881851653492917e-05,0.00016133987300890283
2016-09-15,8.220412229148972e-05,0.0001445808217518497
2016-09-16,2.2915444739787783e-05,0.0001443684865949912
2016-09-19,3.517531944792515e-05,0.0001281511225758692
2016-09-20,3.872742570500875e-05,0.00012522447086722526
2016-09-21,4.5223299312026834e-05,0.00011460451436528962
2016-09-22,3.158679523623141e-05,9.777403079731086e-05
2016-09-23,5.8580203727927945e-05,0.00010196553325433299
2016-09-26,8.127748447649537e-05,0.000129335853041116
2016-09-27,6.49659942618343e-05,0.00013897411559700133
2016-09-28,7.056399575983866e-05,0.0001257728262812221
2016-09-29,0.0002024095074863,0.000125630171970802
2016-09-30,1.6830419471148026e-05,0.00015312400284646144
2016-10-03,6.269700555193848e-05,0.00011850610910500523
2016-10-04,5.231337842680469e-05,0.00012182332185095568
2016-10-05,5.762678528739786e-05,0.0001222801750731055
2016-10-06,0.0001022949176314,0.00011986504218990423
2016-10-07,5.275992008896654e-05,0.00013359790281363852
2016-10-10,4.291072958397141e-05,0.00012050606640298398
2016-10-11,6.025666713656674e-05,0.00012768370375484822
2016-10-12,9.030600004175452e-05,0.00013904167393948512
2016-10-13,4.458240093709509e-05,0.00013441927029040875
2016-10-14,4.522190431433646e-05,0.00011556167438395872
2016-10-17,2.9549970094956813e-05,0.00012272600734169477
2016-10-18,2.1844203413039433e-05,0.0001067863164674673
2016-10-19,5.1201121327380054e-05,9.760510948159862e-05
2016-10-20,2.938618839427886e-05,9.783590553281196e-05
2016-10-21,2.3564824366545496e-05,0.00010352557088515491
2016-10-24,2.7868643625797673e-05,9.947702725657967e-05
2016-10-25,4.31375196435991e-05,0.00010565233762754692
2016-10-26,9.549387738427454e-05,0.00010497478739458462
2016-10-27,7.297412296927481e-05,0.00011119629180920711
2016-10-28,3.9178933291231065e-05,0.00011692152156710412
2016-10-31,6.599006431558282e-05,0.0001256652691486223
2016-11-01,4.924686522666302e-05,0.0001334119371924264
2016-11-02,5.6656382543796486e-05,0.00015104554157280265
2016-11-03,4.2403793556643425e-05,0.00015085903829844063
2016-11-04,5.223597600835327e-05,0.00015632411159618678
2016-11-07,4.001142483515369e-05,0.00013762107158317528
2016-11-08,0.0003191267473782,0.00012474115011216905
2016-11-09,0.0001382759214839,0.00017046908389668089
2016-11-10,0.0001064944831087,0.00014950434478084692
2016-11-11,8.141803487188575e-05,0.0001298068578262473
2016-11-14,4.814512643652075e-05,0.00012660187930362416
2016-11-15,8.366170815128343e-05,0.0001182823844697072
2016-11-16,5.3490124726483866e-05,0.00012564719628709882
2016-11-17,7.404611289045225e-05,0.00012671430463239062
2016-11-18,6.835766280381194e-05,0.00012775325339014273
2016-11-21,3.968183139019824e-05,0.00012547842695093158
2016-11-22,5.672608608610435e-05,0.0001233039900203366
2016-11-23,4.1309365781664005e-05,0.00012585707690747193
2016-11-24,2.522960856373642e-05,0.00012141056452632974
2016-11-25,6.265145847991447e-05,0.00012073701068762451
2016-11-28,7.192650354842568e-05,0.00013217294485896137
2016-11-29,5.780571989924209e-05,0.0001375268307365049
2016-11-30,7.125059622545927e-05,0.00011363172022288724
2016-12-01,5.833261589428571e-05,0.00012242170632549595
2016-12-02,0.0001544089783838,0.0001338299814946801
2016-12-05,4.897439243131561e-05,0.00012072095652664303
2016-12-06,3.6783584731806645e-05,0.00010364367936910382
2016-12-07,0.0001352840900236,0.00010132090322672628
2016-12-08,3.2624785140573146e-05,9.457150101900794e-05
2016-12-09,2.611684339313675e-05,9.216556456356999e-05
2016-12-12,3.3275697920775306e-05,8.525662429440584e-05
2016-12-13,3.180587338217507e-05,8.877179413936372e-05
2016-12-14,7.423414168817352e-05,9.524558011040519e-05
2016-12-15,6.603710578005543e-05,0.00010807409206614763
2016-12-16,1.825063725235017e-05,8.690217310067832e-05
2016-12-19,2.0654182708602712e-05,9.462527118689814e-05
2016-12-20,1.683012975272209e-05,8.746705608924004e-05
2016-12-21,1.6381117654118938e-05,8.924983911026173e-05
2016-12-22,8.499766671150814e-06,9.111118142981171e-05
