,RV_actual,RV_forecast
2016-04-21,5.285423401950513e-05,8.902778668567648e-05
2016-04-22,8.072922492451358e-05,6.563016936056922e-05
2016-04-25,6.615018032214572e-05,0.00010146737745318868
2016-04-26,5.869506409109005e-05,9.830691557923984e-05
2016-04-27,9.747323108214564e-05,8.222956491709474e-05
2016-04-28,0.0001465823345763,8.952821931251753e-05
2016-04-29,9.49354636700917e-05,0.00011168773382373006
2016-05-02,0.000104971983643,0.00010239740428718538
2016-05-03,8.462797542712316e-05,0.00012870180983134697
2016-05-04,9.322932475882608e-05,0.00016273264021970325
2016-05-05,0.000171945087101,0.0001445066866614395
2016-05-06,0.0001157076251394,0.0001383090507198427
2016-05-09,9.4510263471692e-05,0.0001297659478596249
2016-05-10,0.0001286391088613,0.00010117360737313116
2016-05-11,0.0001351417803126,0.00011433200013934528
2016-05-12,0.0001523596039145,0.00012513407482248103
2016-05-13,3.2793535365183516e-05,0.00012279721951598166
2016-05-16,0.0001231298436432,0.00010184191482007397
2016-05-17,0.0001029839273537,0.0001184924289062856
2016-05-18,0.0001349743953929,0.00011360430809042057
2016-05-19,7.681011938012709e-05,0.0001284299589031396
2016-05-20,0.0001760648287833,0.00010850243382885626
2016-05-23,7.64855864400628e-05,0.0001219671241195161
2016-05-24,5.028443074957498e-05,0.00010165439052130248
2016-05-25,5.612715342291293e-05,9.431122537134218e-05
2016-05-26,2.638448316011813e-05,7.371281078093358e-05
2016-05-27,1.849976577056911e-05,5.781931421075816e-05
2016-05-30,5.5796352267937055e-05,4.4967007472028027e-05
2016-05-31,7.276680411360176e-05,5.247693244034374e-05
2016-06-01,7.182857555068032e-05,9.729580206158654e-05
2016-06-02,0.0001301422686445,9.628769979931424e-05
2016-06-03,4.8077220532651975e-05,0.00010327234535842514
2016-06-06,5.437994494407601e-05,7.827521191440897e-05
2016-06-07,5.3049697563391456e-05,8.557749215775068e-05
2016-06-08,5.564130458406076e-05,7.70373742314757e-05
2016-06-09,0.0001253277884836,8.895179159011125e-05
2016-06-10,0.0001143422024297,9.806970236255418e-05
2016-06-13,0.0001414033212355,0.0001788890754603775
2016-06-14,8.583610893609849e-05,0.00027423614382644497
2016-06-15,0.0001606533817775,0.00018753087504978474
2016-06-16,0.0001444261578035,0.0002089082183002464
2016-06-17,0.0001540148721645,0.00019236450685519843
2016-06-20,0.0001033818123089,0.00020051507582744622
2016-06-21,8.468976017806533e-05,0.00016670105830589438
2016-06-22,0.0003127041612844,0.00015525174407619838
2016-06-23,0.0062272572807869,0.0002055308820842754
2016-06-24,0.0003338888393461,0.0005489407629453405
2016-06-27,0.0001944522711404,0.0006420537489847738
2016-06-28,0.00012518008458,0.00032969328894822504
