,RV_actual,RV_forecast
2016-04-21,5.285423401950513e-05,8.096476408127014e-05
2016-04-22,8.072922492451358e-05,6.60576573527203e-05
2016-04-25,6.615018032214572e-05,7.786146367918902e-05
2016-04-26,5.869506409109005e-05,7.785889405190362e-05
2016-04-27,9.747323108214564e-05,6.657854589562826e-05
2016-04-28,0.0001465823345763,8.354756510801231e-05
2016-04-29,9.49354636700917e-05,0.00010219749335999455
2016-05-02,0.000104971983643,8.74721088728179e-05
2016-05-03,8.462797542712316e-05,0.00015086059325122194
2016-05-04,9.322932475882608e-05,0.00014256176794879934
2016-05-05,0.000171945087101,0.00014255777307237505
2016-05-06,0.0001157076251394,0.00011935724268788214
2016-05-09,9.4510263471692e-05,0.0001089631899063049
2016-05-10,0.0001286391088613,9.779597496177668e-05
2016-05-11,0.0001351417803126,0.00011427434587060746
2016-05-12,0.0001523596039145,0.00013124909789876248
2016-05-13,3.2793535365183516e-05,0.0001139638740517711
2016-05-16,0.0001231298436432,8.890450171719733e-05
2016-05-17,0.0001029839273537,0.00011001637603211897
2016-05-18,0.0001349743953929,0.00010396627673325477
2016-05-19,7.681011938012709e-05,0.00012109001987398915
2016-05-20,0.0001760648287833,8.897241532001548e-05
2016-05-23,7.64855864400628e-05,0.0001146007659021341
2016-05-24,5.028443074957498e-05,9.712747999141713e-05
2016-05-25,5.612715342291293e-05,8.416508304609914e-05
2016-05-26,2.638448316011813e-05,6.776607374898325e-05
2016-05-27,1.849976577056911e-05,5.965259556606339e-05
2016-05-30,5.5796352267937055e-05,6.277251827259897e-05
2016-05-31,7.276680411360176e-05,6.266804635696539e-05
2016-06-01,7.182857555068032e-05,7.992027159216486e-05
2016-06-02,0.0001301422686445,7.689559326027175e-05
2016-06-03,4.8077220532651975e-05,9.619515666305655e-05
2016-06-06,5.437994494407601e-05,7.105686795395113e-05
2016-06-07,5.3049697563391456e-05,6.762602299331567e-05
2016-06-08,5.564130458406076e-05,7.109644329864279e-05
2016-06-09,0.0001253277884836,7.898198933529439e-05
2016-06-10,0.0001143422024297,0.00010681920691330932
2016-06-13,0.0001414033212355,0.0001965665330984163
2016-06-14,8.583610893609849e-05,0.00047378882942988946
2016-06-15,0.0001606533817775,0.00022041390156562416
2016-06-16,0.0001444261578035,0.00023576936210683398
2016-06-17,0.0001540148721645,0.0002143962823926194
2016-06-20,0.0001033818123089,0.00021470684977332668
2016-06-21,8.468976017806533e-05,0.00020345611344981044
2016-06-22,0.0003127041612844,0.00019729331522381693
2016-06-23,0.0062272572807869,0.00019285780227206126
2016-06-24,0.0003338888393461,0.0003803861206650024
2016-06-27,0.0001944522711404,0.0006370721152038456
2016-06-28,0.00012518008458,0.0004465460125060161
2016-06-29,0.0002244528483643,0.0002669982512918383
2016-06-30,0.0001329190567126,0.00027533047282567055
2016-07-01,5.95428722118083e-05,0.00014722268213520698
2016-07-04,9.953972764709518e-05,0.0001037035243741402
2016-07-05,0.0001444011275835,0.00012866053856176973
2016-07-06,0.0001058242641617,0.00014859690159318666
2016-07-07,0.0002152102266698,0.00012982543519554122
2016-07-08,0.0001163844818066,0.00013894165343471021
2016-07-11,8.607745962498945e-05,0.00011575124366622811
2016-07-12,0.000388668271507,0.00010992434369244966
2016-07-13,0.0001100427441462,0.00017690520904019877
2016-07-15,0.0001280119033764,0.00012738995251295024
2016-07-18,9.980837045345352e-05,0.00012064072109620423
2016-07-19,6.670098684778401e-05,0.00011101686894121194
2016-07-20,0.0001169894449479,0.00010129699177355263
2016-07-21,0.0001187004139295,9.676285378026129e-05
2016-07-22,6.900010930245905e-05,9.595096515348051e-05
2016-07-25,8.972933572017637e-05,8.168656846819289e-05
2016-07-26,2.579181904093408e-05,8.185347694807838e-05
2016-07-27,8.528859290513268e-05,6.555988471102409e-05
2016-07-28,6.293501255894337e-05,7.913681227178209e-05
2016-07-29,6.462306055668062e-05,6.286023015582229e-05
2016-08-01,7.760070877525404e-05,7.245278423480355e-05
2016-08-02,0.0001398654159485,7.93222741694879e-05
2016-08-03,8.625829040102548e-05,9.819129136037767e-05
2016-08-04,5.785184154315149e-05,7.938225294280928e-05
2016-08-05,3.406973326692493e-05,6.35735576174728e-05
2016-08-08,3.605884603883981e-05,6.151043598513071e-05
2016-08-09,3.432785991894168e-05,5.314401093785623e-05
2016-08-10,3.9251661079819115e-05,5.847512501717439e-05
2016-08-11,2.968037518591873e-05,5.307118933731539e-05
2016-08-12,2.5394121123613277e-05,5.3035977162140486e-05
2016-08-15,5.963779185506859e-05,5.8606884893688416e-05
2016-08-16,5.736011218866102e-05,6.37498735717837e-05
2016-08-17,2.5329570015884297e-05,6.462112275323994e-05
2016-08-18,6.045134694114589e-05,6.0142982441165456e-05
2016-08-19,0.0001042945784459,6.711825130619672e-05
2016-08-22,5.734398764620082e-05,8.275967433014292e-05
2016-08-23,4.740936069048123e-05,6.053421256795753e-05
2016-08-24,6.05663111083877e-05,5.8420054699035076e-05
2016-08-25,0.00010750574774,6.35468275000374e-05
2016-08-26,5.957542325528995e-05,8.126686303329438e-05
2016-08-29,3.704278133236895e-05,6.037775058205362e-05
2016-08-30,4.454777559691289e-05,5.812307177710446e-05
2016-08-31,7.7816526383221e-05,5.83827257830726e-05
2016-09-01,8.742737229184434e-05,8.161198746993913e-05
2016-09-02,2.5489610935255814e-05,6.715449024293688e-05
2016-09-05,4.1245510140717344e-05,5.29642242013433e-05
2016-09-06,5.893333808257708e-05,5.8513053438557196e-05
2016-09-07,0.000116051764795,5.7533842461945914e-05
2016-09-08,8.133020284784319e-05,7.285538193053557e-05
2016-09-09,0.000109075711622,7.248870611051832e-05
2016-09-12,7.609757110443477e-05,0.0001020413687685588
2016-09-13,7.668175510311387e-05,7.845106729973814e-05
2016-09-14,7.881851653492917e-05,8.494334471921177e-05
2016-09-15,8.220412229148972e-05,7.848263635936594e-05
2016-09-16,2.2915444739787783e-05,7.824762822895815e-05
2016-09-19,3.517531944792515e-05,6.206764784309894e-05
2016-09-20,3.872742570500875e-05,6.199517311938704e-05
2016-09-21,4.5223299312026834e-05,5.6195604012723985e-05
2016-09-22,3.158679523623141e-05,5.2943766341556705e-05
2016-09-23,5.8580203727927945e-05,5.4544037019206065e-05
2016-09-26,8.127748447649537e-05,6.154360306671643e-05
2016-09-27,6.49659942618343e-05,7.5921541408945e-05
2016-09-28,7.056399575983866e-05,7.242189494262335e-05
2016-09-29,0.0002024095074863,7.243183983418458e-05
2016-09-30,1.6830419471148026e-05,0.00012382825961358598
2016-10-03,6.269700555193848e-05,6.446884442183409e-05
2016-10-04,5.231337842680469e-05,6.608424324207278e-05
