,RV_actual,RV_forecast
2016-04-21,5.285423401950513e-05,8.445881338730987e-05
2016-04-22,8.072922492451358e-05,7.021573866749809e-05
2016-04-25,6.615018032214572e-05,8.85046972554601e-05
2016-04-26,5.869506409109005e-05,9.67515786824513e-05
2016-04-27,9.747323108214564e-05,8.2112229300738e-05
2016-04-28,0.0001465823345763,8.525524539698542e-05
2016-04-29,9.49354636700917e-05,0.00011463609424174787
2016-05-02,0.000104971983643,0.00010182244611543649
2016-05-03,8.462797542712316e-05,0.00012930682155668267
2016-05-04,9.322932475882608e-05,0.00014075332525188939
2016-05-05,0.000171945087101,0.0001299007110263727
2016-05-06,0.0001157076251394,0.00013250541906179573
2016-05-09,9.4510263471692e-05,0.00012213585482212717
2016-05-10,0.0001286391088613,0.00010766190733672099
2016-05-11,0.0001351417803126,0.00012072536010192852
2016-05-12,0.0001523596039145,0.0001272380502855072
2016-05-13,3.2793535365183516e-05,0.00012492115533171733
2016-05-16,0.0001231298436432,0.00010165690543706817
2016-05-17,0.0001029839273537,0.00011852248926182875
2016-05-18,0.0001349743953929,0.00011632434719116603
2016-05-19,7.681011938012709e-05,0.00013115507040838348
2016-05-20,0.0001760648287833,0.00010694494745371304
2016-05-23,7.64855864400628e-05,0.00012763357784572728
2016-05-24,5.028443074957498e-05,0.00010504343279542723
2016-05-25,5.612715342291293e-05,9.10670335348526e-05
2016-05-26,2.638448316011813e-05,7.300225662085429e-05
2016-05-27,1.849976577056911e-05,6.13314964586643e-05
2016-05-30,5.5796352267937055e-05,6.06282565004065e-05
2016-05-31,7.276680411360176e-05,6.503505422876161e-05
2016-06-01,7.182857555068032e-05,9.210234374339798e-05
2016-06-02,0.0001301422686445,9.038262303115879e-05
2016-06-03,4.8077220532651975e-05,0.00010063569547525305
2016-06-06,5.437994494407601e-05,8.618287704895555e-05
2016-06-07,5.3049697563391456e-05,8.595615773983834e-05
2016-06-08,5.564130458406076e-05,8.075210975910102e-05
2016-06-09,0.0001253277884836,8.835620233223157e-05
2016-06-10,0.0001143422024297,0.00010496283323927687
2016-06-13,0.0001414033212355,0.00016046396193159724
2016-06-14,8.583610893609849e-05,0.00031371704741766575
2016-06-15,0.0001606533817775,0.0001741283042204578
2016-06-16,0.0001444261578035,0.00021654732377360234
2016-06-17,0.0001540148721645,0.00019119003974247972
2016-06-20,0.0001033818123089,0.00018603115892530038
2016-06-21,8.468976017806533e-05,0.00015981437357877142
2016-06-22,0.0003127041612844,0.00014885327778565278
2016-06-23,0.0062272572807869,0.00020153702624021438
2016-06-24,0.0003338888393461,0.0006628709888365444
2016-06-27,0.0001944522711404,0.0006890965858483606
2016-06-28,0.00012518008458,0.0003471775057539905
2016-06-29,0.0002244528483643,0.00024069840971782774
2016-06-30,0.0001329190567126,0.00024908237777968945
2016-07-01,5.95428722118083e-05,0.00014838611639336624
2016-07-04,9.953972764709518e-05,0.00013019061766133473
2016-07-05,0.0001444011275835,0.00016271147156879747
2016-07-06,0.0001058242641617,0.00017776879808497153
2016-07-07,0.0002152102266698,0.0001546652455386022
2016-07-08,0.0001163844818066,0.00016404381201897683
2016-07-11,8.607745962498945e-05,0.00013446234649163886
2016-07-12,0.000388668271507,0.00012445912845732076
2016-07-13,0.0001100427441462,0.00020520035317216615
2016-07-15,0.0001280119033764,0.00013466677047532566
2016-07-18,9.980837045345352e-05,0.00013087748929936714
2016-07-19,6.670098684778401e-05,0.00012801248215628527
2016-07-20,0.0001169894449479,0.00010408739424991212
2016-07-21,0.0001187004139295,9.415230936542793e-05
2016-07-22,6.900010930245905e-05,0.00010823935307584694
2016-07-25,8.972933572017637e-05,9.072806729872961e-05
2016-07-26,2.579181904093408e-05,9.508904440924208e-05
2016-07-27,8.528859290513268e-05,7.023458939334486e-05
2016-07-28,6.293501255894337e-05,8.829398476831244e-05
2016-07-29,6.462306055668062e-05,8.264494834433237e-05
2016-08-01,7.760070877525404e-05,8.67940667795124e-05
2016-08-02,0.0001398654159485,9.551065649697629e-05
2016-08-03,8.625829040102548e-05,0.00010863287425058925
2016-08-04,5.785184154315149e-05,8.657814890589586e-05
2016-08-05,3.406973326692493e-05,7.300133933595509e-05
2016-08-08,3.605884603883981e-05,6.634694106519486e-05
2016-08-09,3.432785991894168e-05,4.5608811647128706e-05
2016-08-10,3.9251661079819115e-05,5.498694168883253e-05
2016-08-11,2.968037518591873e-05,5.009892507598398e-05
2016-08-12,2.5394121123613277e-05,4.471079753706907e-05
2016-08-15,5.963779185506859e-05,4.560264596897259e-05
2016-08-16,5.736011218866102e-05,7.375346445708873e-05
2016-08-17,2.5329570015884297e-05,7.28895330881728e-05
2016-08-18,6.045134694114589e-05,5.788528045177532e-05
2016-08-19,0.0001042945784459,6.947861551210182e-05
2016-08-22,5.734398764620082e-05,9.397218461098706e-05
2016-08-23,4.740936069048123e-05,7.505508925175642e-05
2016-08-24,6.05663111083877e-05,6.488142047839791e-05
2016-08-25,0.00010750574774,7.725142539915256e-05
