,RV_actual,RV_forecast
2016-04-21,5.285423401950513e-05,8.719264157577547e-05
2016-04-22,8.072922492451358e-05,9.041658644308775e-05
2016-04-25,6.615018032214572e-05,0.00010754334384353891
2016-04-26,5.869506409109005e-05,0.00010282567733027048
2016-04-27,9.747323108214564e-05,0.00010151019864057184
2016-04-28,0.0001465823345763,0.00012174594446418242
2016-04-29,9.49354636700917e-05,0.0001627622591954025
2016-05-02,0.000104971983643,0.00016313015325622977
2016-05-03,8.462797542712316e-05,0.00017147426994605639
2016-05-04,9.322932475882608e-05,0.0001923432123232928
2016-05-05,0.000171945087101,0.00017509011348919223
2016-05-06,0.0001157076251394,0.00016405769150730864
2016-05-09,9.4510263471692e-05,0.00015243202110288363
2016-05-10,0.0001286391088613,0.00012197945929937333
2016-05-11,0.0001351417803126,0.00011866744984772784
2016-05-12,0.0001523596039145,0.00014787233677258406
2016-05-13,3.2793535365183516e-05,0.00015008671608777757
2016-05-16,0.0001231298436432,0.00013932622575908653
2016-05-17,0.0001029839273537,0.00015203256075602638
2016-05-18,0.0001349743953929,0.00014963937863778776
2016-05-19,7.681011938012709e-05,0.0001690237902736553
2016-05-20,0.0001760648287833,0.00013738742509079936
2016-05-23,7.64855864400628e-05,0.00016692510076780223
2016-05-24,5.028443074957498e-05,0.00012612820873462375
2016-05-25,5.612715342291293e-05,9.734930856496192e-05
2016-05-26,2.638448316011813e-05,8.700145218991948e-05
2016-05-27,1.849976577056911e-05,9.369641625619881e-05
2016-05-30,5.5796352267937055e-05,7.818133597916314e-05
2016-05-31,7.276680411360176e-05,9.383828772774866e-05
2016-06-01,7.182857555068032e-05,0.00013064750343878823
2016-06-02,0.0001301422686445,0.0001240984750661236
2016-06-03,4.8077220532651975e-05,0.00013435882136122296
2016-06-06,5.437994494407601e-05,0.00012155508694621807
2016-06-07,5.3049697563391456e-05,0.00010424530188139983
2016-06-08,5.564130458406076e-05,0.00011032005516148225
2016-06-09,0.0001253277884836,0.00013535232132728852
2016-06-10,0.0001143422024297,0.00017625293560710915
2016-06-13,0.0001414033212355,0.00022691789251601827
2016-06-14,8.583610893609849e-05,0.0002642646936446725
2016-06-15,0.0001606533817775,0.00022590351669951367
2016-06-16,0.0001444261578035,0.0002640230692915969
2016-06-17,0.0001540148721645,0.00020513913084038395
2016-06-20,0.0001033818123089,0.00015122601014571098
2016-06-21,8.468976017806533e-05,0.00013547197308625542
2016-06-22,0.0003127041612844,0.00013917161314549914
2016-06-23,0.0062272572807869,0.00014542025022617385
2016-06-24,0.0003338888393461,0.0010939759376723049
2016-06-27,0.0001944522711404,0.0004646137748237823
2016-06-28,0.00012518008458,0.0003966829778271875
2016-06-29,0.0002244528483643,0.00035321579289181393
2016-06-30,0.0001329190567126,0.00035387353398960903
2016-07-01,5.95428722118083e-05,0.0001997983213631324
2016-07-04,9.953972764709518e-05,0.00018099542452773622
2016-07-05,0.0001444011275835,0.0002117741647854504
2016-07-06,0.0001058242641617,0.00024361230935813886
2016-07-07,0.0002152102266698,0.00022491568015514673
2016-07-08,0.0001163844818066,0.00022606851061722776
2016-07-11,8.607745962498945e-05,0.00020319453967051278
2016-07-12,0.000388668271507,0.0001618110252502762
2016-07-13,0.0001100427441462,0.00018878502253729708
2016-07-15,0.0001280119033764,0.0001483641003169276
2016-07-18,9.980837045345352e-05,0.00016933476612379582
2016-07-19,6.670098684778401e-05,0.000168671393933797
2016-07-20,0.0001169894449479,0.00016833051859607413
2016-07-21,0.0001187004139295,0.0001696211655679524
2016-07-22,6.900010930245905e-05,0.00018036263011948813
2016-07-25,8.972933572017637e-05,0.00017289412820559508
2016-07-26,2.579181904093408e-05,0.00017628735934790594
2016-07-27,8.528859290513268e-05,0.0001256583392990925
2016-07-28,6.293501255894337e-05,0.00012965537456990575
2016-07-29,6.462306055668062e-05,0.00012403151874476134
2016-08-01,7.760070877525404e-05,0.00012967069257113328
2016-08-02,0.0001398654159485,0.00015819248301356903
2016-08-03,8.625829040102548e-05,0.00016922994185095662
2016-08-04,5.785184154315149e-05,0.0001448848148379498
2016-08-05,3.406973326692493e-05,0.00012781168793558512
2016-08-08,3.605884603883981e-05,0.00011803941185399889
2016-08-09,3.432785991894168e-05,0.00010337427716787699
2016-08-10,3.9251661079819115e-05,0.00010990771292695935
2016-08-11,2.968037518591873e-05,0.00010327967292031695
2016-08-12,2.5394121123613277e-05,0.00010734330184156355
2016-08-15,5.963779185506859e-05,0.00010758657562194137
2016-08-16,5.736011218866102e-05,0.00012744897007209817
2016-08-17,2.5329570015884297e-05,0.0001361419003084404
2016-08-18,6.045134694114589e-05,0.00013182042524962232
2016-08-19,0.0001042945784459,0.00013960490356423698
2016-08-22,5.734398764620082e-05,0.00015196347420469395
2016-08-23,4.740936069048123e-05,0.000132975727178355
2016-08-24,6.05663111083877e-05,0.00012649755078226189
2016-08-25,0.00010750574774,0.00013063885907565459
2016-08-26,5.957542325528995e-05,0.0001311532075990134
2016-08-29,3.704278133236895e-05,0.00012733609893878325
2016-08-30,4.454777559691289e-05,0.00012223174560120278
2016-08-31,7.7816526383221e-05,0.00012140043442435135
2016-09-01,8.742737229184434e-05,0.00012202014484914654
2016-09-02,2.5489610935255814e-05,9.927046172241012e-05
2016-09-05,4.1245510140717344e-05,9.494884420256984e-05
2016-09-06,5.893333808257708e-05,0.00010667933768302263
2016-09-07,0.000116051764795,0.00010144417680384745
2016-09-08,8.133020284784319e-05,0.00010580971430669103
2016-09-09,0.000109075711622,0.0001265887989122938
2016-09-12,7.609757110443477e-05,0.00016670752416187597
2016-09-13,7.668175510311387e-05,0.00014793193093096292
2016-09-14,7.881851653492917e-05,0.00016328271169685615
2016-09-15,8.220412229148972e-05,0.00014589738528695355
2016-09-16,2.2915444739787783e-05,0.000145677332945952
2016-09-19,3.517531944792515e-05,0.00013028056664928948
2016-09-20,3.872742570500875e-05,0.0001266630114460614
2016-09-21,4.5223299312026834e-05,0.00011622400970824017
2016-09-22,3.158679523623141e-05,9.928706812295347e-05
2016-09-23,5.8580203727927945e-05,0.00010424723291763404
2016-09-26,8.127748447649537e-05,0.00013115450429227265
2016-09-27,6.49659942618343e-05,0.00014002669867111103
2016-09-28,7.056399575983866e-05,0.00012763765857712973
2016-09-29,0.0002024095074863,0.0001272682494945682
2016-09-30,1.6830419471148026e-05,0.0001541710000242603
2016-10-03,6.269700555193848e-05,0.00012072930730212239
2016-10-04,5.231337842680469e-05,0.0001240283974310576
2016-10-05,5.762678528739786e-05,0.0001246887721041768
2016-10-06,0.0001022949176314,0.00012181744344563154
2016-10-07,5.275992008896654e-05,0.00013601974723265756
2016-10-10,4.291072958397141e-05,0.00012268807948309594
2016-10-11,6.025666713656674e-05,0.0001300501732703175
2016-10-12,9.030600004175452e-05,0.00014117827324462565
2016-10-13,4.458240093709509e-05,0.0001367699344421103
2016-10-14,4.522190431433646e-05,0.00011870834567145991
2016-10-17,2.9549970094956813e-05,0.00012523099163133327
2016-10-18,2.1844203413039433e-05,0.0001099314857006634
2016-10-19,5.1201121327380054e-05,0.00010070006098548045
2016-10-20,2.938618839427886e-05,0.00010077578792647604
2016-10-21,2.3564824366545496e-05,0.00010578209347834232
2016-10-24,2.7868643625797673e-05,0.00010255606184703892
2016-10-25,4.31375196435991e-05,0.00010834938324160524
2016-10-26,9.549387738427454e-05,0.00010856247802229417
2016-10-27,7.297412296927481e-05,0.00011435993795198208
2016-10-28,3.9178933291231065e-05,0.0001197905113769477
2016-10-31,6.599006431558282e-05,0.00012868167228535148
2016-11-01,4.924686522666302e-05,0.00013602758573089124
2016-11-02,5.6656382543796486e-05,0.00015426613354221444
2016-11-03,4.2403793556643425e-05,0.00015382688364790336
2016-11-04,5.223597600835327e-05,0.00015886703149160293
2016-11-07,4.001142483515369e-05,0.00014131981146969712
2016-11-08,0.0003191267473782,0.0001285988842554165
2016-11-09,0.0001382759214839,0.0001756476973936511
2016-11-10,0.0001064944831087,0.0001550037356083472
2016-11-11,8.141803487188575e-05,0.0001349062251434149
2016-11-14,4.814512643652075e-05,0.00013091103167387662
2016-11-15,8.366170815128343e-05,0.00012334156009638183
2016-11-16,5.3490124726483866e-05,0.0001305441209517616
2016-11-17,7.404611289045225e-05,0.00013086846909527022
2016-11-18,6.835766280381194e-05,0.00013195002719653954
2016-11-21,3.968183139019824e-05,0.00012956014159489057
2016-11-22,5.672608608610435e-05,0.00012813445934239958
2016-11-23,4.1309365781664005e-05,0.00012955220642057923
2016-11-24,2.522960856373642e-05,0.00012559489443307419
2016-11-25,6.265145847991447e-05,0.00012524497018734398
2016-11-28,7.192650354842568e-05,0.0001357060412580231
2016-11-29,5.780571989924209e-05,0.00014131617304552027
2016-11-30,7.125059622545927e-05,0.00011802852935702127
2016-12-01,5.833261589428571e-05,0.00012739470154459154
2016-12-02,0.0001544089783838,0.00013875139796990782
2016-12-05,4.897439243131561e-05,0.00012579666887792165
2016-12-06,3.6783584731806645e-05,0.0001093783244068252
2016-12-07,0.0001352840900236,0.00010774138166805061
2016-12-08,3.2624785140573146e-05,0.00010075694353102308
2016-12-09,2.611684339313675e-05,9.846304252350026e-05
2016-12-12,3.3275697920775306e-05,9.158150160058851e-05
2016-12-13,3.180587338217507e-05,9.576187674817758e-05
2016-12-14,7.423414168817352e-05,0.00010146085277765433
2016-12-15,6.603710578005543e-05,0.00011420330919614516
