,RV_actual,RV_forecast
2016-04-21,5.285423401950513e-05,8.811917743600763e-05
2016-04-22,8.072922492451358e-05,6.184810948231703e-05
2016-04-25,6.615018032214572e-05,9.99923882186196e-05
2016-04-26,5.869506409109005e-05,9.732417480071532e-05
2016-04-27,9.747323108214564e-05,8.049080798765605e-05
2016-04-28,0.0001465823345763,9.145493700347143e-05
2016-04-29,9.49354636700917e-05,0.00010949002574494762
2016-05-02,0.000104971983643,0.00010166929449601536
2016-05-03,8.462797542712316e-05,0.00012978525879336748
2016-05-04,9.322932475882608e-05,0.00016579534982100964
2016-05-05,0.000171945087101,0.00014271901525483995
2016-05-06,0.0001157076251394,0.00013651877637435082
2016-05-09,9.4510263471692e-05,0.00012794379455066722
2016-05-10,0.0001286391088613,0.00010483953159808107
2016-05-11,0.0001351417803126,0.00011646890196263395
2016-05-12,0.0001523596039145,0.00012424315788206667
2016-05-13,3.2793535365183516e-05,0.00011898943394459855
2016-05-16,0.0001231298436432,9.851564479549265e-05
2016-05-17,0.0001029839273537,0.00011833473148853864
2016-05-18,0.0001349743953929,0.00011682529264622706
2016-05-19,7.681011938012709e-05,0.00012957721901451968
2016-05-20,0.0001760648287833,0.00010590000418380117
2016-05-23,7.64855864400628e-05,0.00012306965796407194
2016-05-24,5.028443074957498e-05,9.890844744848622e-05
2016-05-25,5.612715342291293e-05,9.586517754683901e-05
2016-05-26,2.638448316011813e-05,7.07664425858496e-05
2016-05-27,1.849976577056911e-05,5.4926092432469484e-05
2016-05-30,5.5796352267937055e-05,4.397778182382035e-05
2016-05-31,7.276680411360176e-05,5.090253192005629e-05
2016-06-01,7.182857555068032e-05,9.381738685652952e-05
2016-06-02,0.0001301422686445,9.300310636817393e-05
2016-06-03,4.8077220532651975e-05,0.00010272660745123282
2016-06-06,5.437994494407601e-05,7.419639747933258e-05
2016-06-07,5.3049697563391456e-05,8.398047324524687e-05
2016-06-08,5.564130458406076e-05,7.520002333070935e-05
2016-06-09,0.0001253277884836,8.597246796600646e-05
2016-06-10,0.0001143422024297,9.592831808584978e-05
2016-06-13,0.0001414033212355,0.00016945552504355268
2016-06-14,8.583610893609849e-05,0.00026664736369040533
2016-06-15,0.0001606533817775,0.00018732253759416669
2016-06-16,0.0001444261578035,0.0002082375995779383
2016-06-17,0.0001540148721645,0.0001901248058790057
2016-06-20,0.0001033818123089,0.00021057115136395484
2016-06-21,8.468976017806533e-05,0.00016454882744897483
2016-06-22,0.0003127041612844,0.00016030793872935843
2016-06-23,0.0062272572807869,0.00019749027337933746
2016-06-24,0.0003338888393461,0.0006613586557957621
2016-06-27,0.0001944522711404,0.0006245449808054758
2016-06-28,0.00012518008458,0.0003340346440922862
2016-06-29,0.0002244528483643,0.00020567814950614996
2016-06-30,0.0001329190567126,0.00022484386702615195
2016-07-01,5.95428722118083e-05,0.0001210860506755026
2016-07-04,9.953972764709518e-05,0.00011599772826271194
