,RV_actual,RV_forecast
2016-04-21,5.285423401950513e-05,8.821037260008665e-05
2016-04-22,8.072922492451358e-05,7.825564708588925e-05
2016-04-25,6.615018032214572e-05,8.578557943239892e-05
2016-04-26,5.869506409109005e-05,8.567938367454104e-05
2016-04-27,9.747323108214564e-05,7.863725496191677e-05
2016-04-28,0.0001465823345763,8.971160440649695e-05
2016-04-29,9.49354636700917e-05,0.00010335990957272191
2016-05-02,0.000104971983643,8.960277738615495e-05
2016-05-03,8.462797542712316e-05,0.00011476872676565431
2016-05-04,9.322932475882608e-05,0.00015162912972984318
2016-05-05,0.000171945087101,0.00015093971256218848
2016-05-06,0.0001157076251394,0.00011639071987765583
2016-05-09,9.4510263471692e-05,0.00010516581181239667
2016-05-10,0.0001286391088613,9.509305945362978e-05
2016-05-11,0.0001351417803126,0.00011036424365037634
2016-05-12,0.0001523596039145,0.0001284088040945132
2016-05-13,3.2793535365183516e-05,0.000110281847847844
2016-05-16,0.0001231298436432,9.110839981447415e-05
2016-05-17,0.0001029839273537,0.00010458287546186707
2016-05-18,0.0001349743953929,0.00010132799924390709
2016-05-19,7.681011938012709e-05,0.00011433690887141603
2016-05-20,0.0001760648287833,8.70470834110256e-05
2016-05-23,7.64855864400628e-05,0.00011103068260956443
2016-05-24,5.028443074957498e-05,9.628112415566429e-05
2016-05-25,5.612715342291293e-05,9.621091669068664e-05
2016-05-26,2.638448316011813e-05,8.132557554935252e-05
2016-05-27,1.849976577056911e-05,8.130162258224054e-05
2016-05-30,5.5796352267937055e-05,8.12898337683245e-05
2016-05-31,7.276680411360176e-05,8.133562165773735e-05
2016-06-01,7.182857555068032e-05,8.355653747331416e-05
2016-06-02,0.0001301422686445,8.12151150079905e-05
2016-06-03,4.8077220532651975e-05,9.486674605958764e-05
2016-06-06,5.437994494407601e-05,8.349494477515181e-05
2016-06-07,5.3049697563391456e-05,8.127470506934455e-05
2016-06-08,5.564130458406076e-05,8.552672092412469e-05
