,RV_actual,RV_forecast
2016-04-21,5.285423401950513e-05,8.333863444465861e-05
2016-04-22,8.072922492451358e-05,6.568136579424825e-05
2016-04-25,6.615018032214572e-05,8.685695617101308e-05
2016-04-26,5.869506409109005e-05,9.068041929831206e-05
2016-04-27,9.747323108214564e-05,8.003162955238842e-05
2016-04-28,0.0001465823345763,9.113788617954621e-05
2016-04-29,9.49354636700917e-05,0.00011848908670888546
2016-05-02,0.000104971983643,0.00010272164377114633
2016-05-03,8.462797542712316e-05,0.00013384197194648477
2016-05-04,9.322932475882608e-05,0.00014285159730049782
2016-05-05,0.000171945087101,0.00012346784979999607
2016-05-06,0.0001157076251394,0.0001346159082102307
2016-05-09,9.4510263471692e-05,0.00011973704306149816
2016-05-10,0.0001286391088613,0.00010204543514080669
2016-05-11,0.0001351417803126,0.00011816817568801528
2016-05-12,0.0001523596039145,0.00012685052310455248
2016-05-13,3.2793535365183516e-05,0.00012227581338998658
2016-05-16,0.0001231298436432,9.782793169655432e-05
2016-05-17,0.0001029839273537,0.00011983004007352666
2016-05-18,0.0001349743953929,0.00011542097185369149
2016-05-19,7.681011938012709e-05,0.00013160587086649401
2016-05-20,0.0001760648287833,0.00010288385127525749
2016-05-23,7.64855864400628e-05,0.00012949645541465626
2016-05-24,5.028443074957498e-05,0.00010093761741939435
2016-05-25,5.612715342291293e-05,8.653107144618418e-05
2016-05-26,2.638448316011813e-05,7.539652871961004e-05
2016-05-27,1.849976577056911e-05,6.008362367286994e-05
2016-05-30,5.5796352267937055e-05,5.571837610996927e-05
2016-05-31,7.276680411360176e-05,6.19966891658269e-05
2016-06-01,7.182857555068032e-05,9.061102943757982e-05
2016-06-02,0.0001301422686445,9.117558145725746e-05
2016-06-03,4.8077220532651975e-05,0.00010036111606746905
2016-06-06,5.437994494407601e-05,8.737924095737156e-05
2016-06-07,5.3049697563391456e-05,8.577458215271314e-05
2016-06-08,5.564130458406076e-05,7.642883413310481e-05
2016-06-09,0.0001253277884836,8.86232668119269e-05
2016-06-10,0.0001143422024297,0.00010203118648883894
2016-06-13,0.0001414033212355,0.00015336955698926782
2016-06-14,8.583610893609849e-05,0.0003149221487290414
2016-06-15,0.0001606533817775,0.00016818942338754707
2016-06-16,0.0001444261578035,0.0002236055039439579
2016-06-17,0.0001540148721645,0.00018288916441843158
2016-06-20,0.0001033818123089,0.00018665334565962075
2016-06-21,8.468976017806533e-05,0.00016596438813224192
2016-06-22,0.0003127041612844,0.00014882074150682426
2016-06-23,0.0062272572807869,0.0001893100451440494
2016-06-24,0.0003338888393461,0.0007283535882491542
2016-06-27,0.0001944522711404,0.0006882530469899143
2016-06-28,0.00012518008458,0.00037446448727877183
2016-06-29,0.0002244528483643,0.0002719006867751874
2016-06-30,0.0001329190567126,0.00025757960969549593
2016-07-01,5.95428722118083e-05,0.00015029197914860656
2016-07-04,9.953972764709518e-05,0.00012950688385888863
2016-07-05,0.0001444011275835,0.00017229371090725379
2016-07-06,0.0001058242641617,0.00018402409012641593
2016-07-07,0.0002152102266698,0.00016289283294167596
2016-07-08,0.0001163844818066,0.000159828526950743
2016-07-11,8.607745962498945e-05,0.0001406090495795211
2016-07-12,0.000388668271507,0.00012267068233197262
2016-07-13,0.0001100427441462,0.00020025313873645614
2016-07-15,0.0001280119033764,0.00013969329665714306
2016-07-18,9.980837045345352e-05,0.0001318193202713885
2016-07-19,6.670098684778401e-05,0.000132424833898123
2016-07-20,0.0001169894449479,0.00010367783061703701
2016-07-21,0.0001187004139295,9.951558222099671e-05
2016-07-22,6.900010930245905e-05,0.00011045777708290573
2016-07-25,8.972933572017637e-05,9.057148522207821e-05
2016-07-26,2.579181904093408e-05,9.811812430835781e-05
2016-07-27,8.528859290513268e-05,6.733287151336797e-05
2016-07-28,6.293501255894337e-05,8.613198546535032e-05
2016-07-29,6.462306055668062e-05,8.148699942915166e-05
2016-08-01,7.760070877525404e-05,9.221357101880497e-05
2016-08-02,0.0001398654159485,9.363964844337343e-05
2016-08-03,8.625829040102548e-05,0.00010942851822381246
2016-08-04,5.785184154315149e-05,8.87558515010046e-05
2016-08-05,3.406973326692493e-05,7.51487445678238e-05
2016-08-08,3.605884603883981e-05,6.315374388649248e-05
2016-08-09,3.432785991894168e-05,4.641997572374442e-05
2016-08-10,3.9251661079819115e-05,5.604969493630764e-05
2016-08-11,2.968037518591873e-05,5.17355740339308e-05
2016-08-12,2.5394121123613277e-05,4.3356022923605454e-05
2016-08-15,5.963779185506859e-05,4.818823802154632e-05
2016-08-16,5.736011218866102e-05,7.803100873742258e-05
2016-08-17,2.5329570015884297e-05,7.392783583689427e-05
2016-08-18,6.045134694114589e-05,6.0279525033563484e-05
2016-08-19,0.0001042945784459,7.358061579480116e-05
2016-08-22,5.734398764620082e-05,9.274856231693427e-05
2016-08-23,4.740936069048123e-05,8.108219627424831e-05
2016-08-24,6.05663111083877e-05,6.39811132724213e-05
2016-08-25,0.00010750574774,8.12921918072232e-05
2016-08-26,5.957542325528995e-05,7.230679462073704e-05
2016-08-29,3.704278133236895e-05,6.208108049651468e-05
2016-08-30,4.454777559691289e-05,5.811699376654528e-05
2016-08-31,7.7816526383221e-05,5.693769503482306e-05
2016-09-01,8.742737229184434e-05,7.364754745601185e-05
2016-09-02,2.5489610935255814e-05,6.408178565732003e-05
2016-09-05,4.1245510140717344e-05,4.38400590999168e-05
2016-09-06,5.893333808257708e-05,5.935932998220031e-05
2016-09-07,0.000116051764795,5.6512271034300225e-05
2016-09-08,8.133020284784319e-05,6.828012026988592e-05
2016-09-09,0.000109075711622,7.844842470573234e-05
2016-09-12,7.609757110443477e-05,9.744754900107635e-05
2016-09-13,7.668175510311387e-05,0.00011779377411084012
2016-09-14,7.881851653492917e-05,0.00010275762735329845
2016-09-15,8.220412229148972e-05,8.834596691465247e-05
2016-09-16,2.2915444739787783e-05,9.190873021804893e-05
2016-09-19,3.517531944792515e-05,7.042640607712861e-05
2016-09-20,3.872742570500875e-05,6.748537685349715e-05
2016-09-21,4.5223299312026834e-05,5.3730752262622036e-05
2016-09-22,3.158679523623141e-05,5.361989290510584e-05
2016-09-23,5.8580203727927945e-05,4.4634788796779e-05
2016-09-26,8.127748447649537e-05,6.967922664144543e-05
2016-09-27,6.49659942618343e-05,8.588961172250779e-05
2016-09-28,7.056399575983866e-05,7.821960129568691e-05
2016-09-29,0.0002024095074863,8.253600646150688e-05
2016-09-30,1.6830419471148026e-05,0.00011480151264246873
2016-10-03,6.269700555193848e-05,6.358492952722926e-05
2016-10-04,5.231337842680469e-05,6.47405050447536e-05
2016-10-05,5.762678528739786e-05,6.131224668212552e-05
2016-10-06,0.0001022949176314,6.140919417719342e-05
2016-10-07,5.275992008896654e-05,8.147168633690478e-05
2016-10-10,4.291072958397141e-05,6.0564375854948644e-05
2016-10-11,6.025666713656674e-05,6.823994641049882e-05
2016-10-12,9.030600004175452e-05,7.905827127775478e-05
2016-10-13,4.458240093709509e-05,8.48872511538419e-05
2016-10-14,4.522190431433646e-05,6.216913866284938e-05
2016-10-17,2.9549970094956813e-05,6.535731869822739e-05
2016-10-18,2.1844203413039433e-05,5.4561970596849184e-05
2016-10-19,5.1201121327380054e-05,4.026983949111659e-05
2016-10-20,2.938618839427886e-05,4.5507282804200566e-05
2016-10-21,2.3564824366545496e-05,4.1812790058200305e-05
2016-10-24,2.7868643625797673e-05,3.988860301524845e-05
2016-10-25,4.31375196435991e-05,3.879091411604035e-05
2016-10-26,9.549387738427454e-05,5.482125156326672e-05
2016-10-27,7.297412296927481e-05,7.222891639292275e-05
2016-10-28,3.9178933291231065e-05,8.191584248353387e-05
2016-10-31,6.599006431558282e-05,7.071478520138925e-05
2016-11-01,4.924686522666302e-05,8.588975507102143e-05
2016-11-02,5.6656382543796486e-05,7.684385333782053e-05
2016-11-03,4.2403793556643425e-05,9.109959073558437e-05
2016-11-04,5.223597600835327e-05,7.397465024138147e-05
2016-11-07,4.001142483515369e-05,6.949702534560273e-05
2016-11-08,0.0003191267473782,8.058544822326146e-05
2016-11-09,0.0001382759214839,0.00021720732574066233
2016-11-10,0.0001064944831087,0.00011159119699355326
2016-11-11,8.141803487188575e-05,0.00010656351055731652
2016-11-14,4.814512643652075e-05,0.00010500089968246567
2016-11-15,8.366170815128343e-05,8.220782265398094e-05
2016-11-16,5.3490124726483866e-05,8.20398019663463e-05
2016-11-17,7.404611289045225e-05,6.24557312773988e-05
2016-11-18,6.835766280381194e-05,7.801163202280408e-05
2016-11-21,3.968183139019824e-05,8.990130532824946e-05
2016-11-22,5.672608608610435e-05,6.733910097629604e-05
2016-11-23,4.1309365781664005e-05,6.904830236224152e-05
2016-11-24,2.522960856373642e-05,6.027305665109173e-05
2016-11-25,6.265145847991447e-05,5.5741212185223724e-05
2016-11-28,7.192650354842568e-05,7.857811276175137e-05
2016-11-29,5.780571989924209e-05,8.566948175359778e-05
2016-11-30,7.125059622545927e-05,7.0508982564224e-05
2016-12-01,5.833261589428571e-05,8.533577613207385e-05
2016-12-02,0.0001544089783838,7.700180059720098e-05
