,RV_actual,RV_forecast
2016-04-21,5.285423401950513e-05,0.0001031559865726508
2016-04-22,8.072922492451358e-05,8.869061749772216e-05
2016-04-25,6.615018032214572e-05,9.273516808651057e-05
2016-04-26,5.869506409109005e-05,9.051050703643901e-05
2016-04-27,9.747323108214564e-05,8.751059492683678e-05
2016-04-28,0.0001465823345763,9.530312660162693e-05
2016-04-29,9.49354636700917e-05,0.00011554088038531784
2016-05-02,0.000104971983643,0.00010451615864084913
2016-05-03,8.462797542712316e-05,0.00010952165393669343
2016-05-04,9.322932475882608e-05,0.00010653799387416342
2016-05-05,0.000171945087101,0.00010822852259856141
2016-05-06,0.0001157076251394,0.0001296834962321227
2016-05-09,9.4510263471692e-05,0.00011801854680670875
2016-05-10,0.0001286391088613,0.00011211783157317968
2016-05-11,0.0001351417803126,0.0001237400484911239
2016-05-12,0.0001523596039145,0.00012896852632330157
2016-05-13,3.2793535365183516e-05,0.00013221680271702447
2016-05-16,0.0001231298436432,9.64172880061401e-05
2016-05-17,0.0001029839273537,0.0001209984506554476
2016-05-18,0.0001349743953929,0.00011416114496155562
2016-05-19,7.681011938012709e-05,0.0001224601290414642
2016-05-20,0.0001760648287833,0.00010251974143672739
2016-05-23,7.64855864400628e-05,0.00013847079236202378
2016-05-24,5.028443074957498e-05,0.0001114067830853893
2016-05-25,5.612715342291293e-05,0.00010057406126387364
2016-05-26,2.638448316011813e-05,9.526678060952887e-05
2016-05-27,1.849976577056911e-05,8.371938735690648e-05
2016-05-30,5.5796352267937055e-05,6.785680927390139e-05
2016-05-31,7.276680411360176e-05,7.423206199933948e-05
2016-06-01,7.182857555068032e-05,8.001511233964603e-05
2016-06-02,0.0001301422686445,8.078460541331395e-05
2016-06-03,4.8077220532651975e-05,0.000103662900827269
2016-06-06,5.437994494407601e-05,8.641528850063625e-05
2016-06-07,5.3049697563391456e-05,8.667082477960981e-05
2016-06-08,5.564130458406076e-05,8.426524955309909e-05
2016-06-09,0.0001253277884836,8.322492521698063e-05
2016-06-10,0.0001143422024297,9.937385783085207e-05
2016-06-13,0.0001414033212355,0.00010220527997913447
2016-06-14,8.583610893609849e-05,0.00011575880137327531
