,RV_actual,RV_forecast
2016-04-21,5.285423401950513e-05,0.00010221214724112943
2016-04-22,8.072922492451358e-05,8.662749048474445e-05
2016-04-25,6.615018032214572e-05,9.120658570635525e-05
2016-04-26,5.869506409109005e-05,8.879612253855911e-05
2016-04-27,9.747323108214564e-05,8.553345084782088e-05
2016-04-28,0.0001465823345763,9.385294810457145e-05
2016-04-29,9.49354636700917e-05,0.00011462271408989029
2016-05-02,0.000104971983643,0.00010287840697087533
2016-05-03,8.462797542712316e-05,0.00010778193025952649
2016-05-04,9.322932475882608e-05,0.00010436469317276205
2016-05-05,0.000171945087101,0.00010615584492169817
2016-05-06,0.0001157076251394,0.0001287536878342433
2016-05-09,9.4510263471692e-05,0.00011613410177315899
2016-05-10,0.0001286391088613,0.00011011388043689977
2016-05-11,0.0001351417803126,0.00012199450088922932
2016-05-12,0.0001523596039145,0.00012711115805850965
2016-05-13,3.2793535365183516e-05,0.00013072689854244415
2016-05-16,0.0001231298436432,9.346915950347614e-05
2016-05-17,0.0001029839273537,0.00011934058553792038
2016-05-18,0.0001349743953929,0.00011222278625460234
2016-05-19,7.681011938012709e-05,0.00012110934635791492
2016-05-20,0.0001760648287833,0.00010044313812852492
2016-05-23,7.64855864400628e-05,0.0001376058054907804
2016-05-24,5.028443074957498e-05,0.00010893065915488141
2016-05-25,5.612715342291293e-05,9.778429133949841e-05
2016-05-26,2.638448316011813e-05,9.284729296348426e-05
2016-05-27,1.849976577056911e-05,8.09772151425062e-05
2016-05-30,5.5796352267937055e-05,6.560230934452497e-05
2016-05-31,7.276680411360176e-05,7.249099864803661e-05
2016-06-01,7.182857555068032e-05,7.835083284448963e-05
2016-06-02,0.0001301422686445,7.905713620057566e-05
2016-06-03,4.8077220532651975e-05,0.00010254146109729196
2016-06-06,5.437994494407601e-05,8.373872324852515e-05
2016-06-07,5.3049697563391456e-05,8.408392707412384e-05
2016-06-08,5.564130458406076e-05,8.154895935565287e-05
2016-06-09,0.0001253277884836,8.052499583066492e-05
2016-06-10,0.0001143422024297,9.769818255697451e-05
2016-06-13,0.0001414033212355,0.00010001632456864195
2016-06-14,8.583610893609849e-05,0.00011372025590960509
2016-06-15,0.0001606533817775,0.00010282243907937553
2016-06-16,0.0001444261578035,0.00013049669083672308
2016-06-17,0.0001540148721645,0.00012832674664649488
2016-06-20,0.0001033818123089,0.0001340994941267591
2016-06-21,8.468976017806533e-05,0.00011849815400829717
2016-06-22,0.0003127041612844,0.00011279452387851261
2016-06-23,0.0062272572807869,0.00018488007651829783
2016-06-24,0.0003338888393461,0.002244779104491545
2016-06-27,0.0001944522711404,0.0007543629598268244
2016-06-28,0.00012518008458,0.0007280490636608709
2016-06-29,0.0002244528483643,0.0007148281558843211
2016-06-30,0.0001329190567126,0.0007344557229198223
2016-07-01,5.95428722118083e-05,0.00022381549482763328
2016-07-04,9.953972764709518e-05,0.00018317703668600075
2016-07-05,0.0001444011275835,0.00018539325389401826
2016-07-06,0.0001058242641617,0.00019919993590155214
2016-07-07,0.0002152102266698,0.00018045229920183616
2016-07-08,0.0001163844818066,0.00021624905453017054
2016-07-11,8.607745962498945e-05,0.00019641656006164754
2016-07-12,0.000388668271507,0.00018729643534744306
2016-07-13,0.0001100427441462,0.0002859772174414765
2016-07-15,0.0001280119033764,0.00021559769394351115
2016-07-18,9.980837045345352e-05,0.0002135579586610583
2016-07-19,6.670098684778401e-05,0.00020450663971245081
2016-07-20,0.0001169894449479,0.00019382831555940754
2016-07-21,0.0001187004139295,0.00018441186922605712
2016-07-22,6.900010930245905e-05,0.0001856810032260152
2016-07-25,8.972933572017637e-05,0.00016823493474575475
2016-07-26,2.579181904093408e-05,0.0001705012829152193
2016-07-27,8.528859290513268e-05,9.095256364059834e-05
2016-07-28,6.293501255894337e-05,0.0001010259213310489
2016-07-29,6.462306055668062e-05,8.962072754673674e-05
2016-08-01,7.760070877525404e-05,8.909965118881342e-05
2016-08-02,0.0001398654159485,8.997479142225576e-05
2016-08-03,8.625829040102548e-05,0.00011490573044605466
2016-08-04,5.785184154315149e-05,0.00010169494710974959
2016-08-05,3.406973326692493e-05,9.369985207774498e-05
2016-08-08,3.605884603883981e-05,8.417027537846825e-05
2016-08-09,3.432785991894168e-05,8.06565380443515e-05
2016-08-10,3.9251661079819115e-05,7.000226756289037e-05
2016-08-11,2.968037518591873e-05,6.672438045003434e-05
2016-08-12,2.5394121123613277e-05,6.150013349480159e-05
2016-08-15,5.963779185506859e-05,5.6188238845607556e-05
2016-08-16,5.736011218866102e-05,6.624286707094345e-05
2016-08-17,2.5329570015884297e-05,6.683158790410199e-05
2016-08-18,6.045134694114589e-05,5.68902280768807e-05
2016-08-19,0.0001042945784459,6.816586203011833e-05
2016-08-22,5.734398764620082e-05,8.543307191493007e-05
2016-08-23,4.740936069048123e-05,7.27784900017628e-05
2016-08-24,6.05663111083877e-05,6.926230583304369e-05
