,RV_actual,RV_forecast
2016-04-21,5.285423401950513e-05,9.063912445392298e-05
2016-04-22,8.072922492451358e-05,6.7498862018069e-05
2016-04-25,6.615018032214572e-05,9.233573295357925e-05
2016-04-26,5.869506409109005e-05,8.943332890350039e-05
2016-04-27,9.747323108214564e-05,7.486595179732166e-05
2016-04-28,0.0001465823345763,8.329922596907244e-05
2016-04-29,9.49354636700917e-05,0.00011219679661324441
2016-05-02,0.000104971983643,9.057233749129767e-05
2016-05-03,8.462797542712316e-05,8.618479290842007e-05
2016-05-04,9.322932475882608e-05,0.0001087962600782871
2016-05-05,0.000171945087101,0.00011521167982097387
2016-05-06,0.0001157076251394,0.0001297882054297328
2016-05-09,9.4510263471692e-05,0.00012057741725052175
2016-05-10,0.0001286391088613,9.959075473849462e-05
2016-05-11,0.0001351417803126,0.0001580586850494703
2016-05-12,0.0001523596039145,0.00013994250620570826
2016-05-13,3.2793535365183516e-05,0.00014535179324997417
2016-05-16,0.0001231298436432,7.836719758445676e-05
2016-05-17,0.0001029839273537,0.00011779502623612325
2016-05-18,0.0001349743953929,0.00012555424887978017
2016-05-19,7.681011938012709e-05,0.00014611218423017422
2016-05-20,0.0001760648287833,9.883134952293587e-05
2016-05-23,7.64855864400628e-05,0.00013340620924541803
2016-05-24,5.028443074957498e-05,0.00010003975556337612
2016-05-25,5.612715342291293e-05,8.366398917106254e-05
2016-05-26,2.638448316011813e-05,7.167052237740312e-05
2016-05-27,1.849976577056911e-05,6.153312457827971e-05
2016-05-30,5.5796352267937055e-05,4.79642125977544e-05
2016-05-31,7.276680411360176e-05,6.077567168973315e-05
2016-06-01,7.182857555068032e-05,6.547705586214044e-05
2016-06-02,0.0001301422686445,7.460486799278701e-05
2016-06-03,4.8077220532651975e-05,9.568836057940096e-05
2016-06-06,5.437994494407601e-05,7.083613299394136e-05
2016-06-07,5.3049697563391456e-05,8.195578115373464e-05
2016-06-08,5.564130458406076e-05,5.8343511306179694e-05
2016-06-09,0.0001253277884836,6.572463677825718e-05
2016-06-10,0.0001143422024297,7.793297000804353e-05
2016-06-13,0.0001414033212355,6.76995702335483e-05
2016-06-14,8.583610893609849e-05,0.00011431123331006023
2016-06-15,0.0001606533817775,0.00012389093269841677
2016-06-16,0.0001444261578035,0.0001198395529976268
2016-06-17,0.0001540148721645,0.00013483948699054963
2016-06-20,0.0001033818123089,0.00016209937738859706
2016-06-21,8.468976017806533e-05,0.00014040607452291481
2016-06-22,0.0003127041612844,0.00010960687476449055
2016-06-23,0.0062272572807869,0.00037669292005757687
2016-06-24,0.0003338888393461,0.0018182691206505316
2016-06-27,0.0001944522711404,0.0004573280049457729
2016-06-28,0.00012518008458,0.0002961441459991528
2016-06-29,0.0002244528483643,0.0002998736875611004
2016-06-30,0.0001329190567126,0.00032475767473830734
2016-07-01,5.95428722118083e-05,0.00022028907010379284
2016-07-04,9.953972764709518e-05,0.00015740982270936237
2016-07-05,0.0001444011275835,0.00018797240216646008
2016-07-06,0.0001058242641617,0.00016529077654208035
2016-07-07,0.0002152102266698,0.00014159226757369113
2016-07-08,0.0001163844818066,0.00020846605428577808
2016-07-11,8.607745962498945e-05,0.000153954007724478
2016-07-12,0.000388668271507,0.00014362797653140957
2016-07-13,0.0001100427441462,0.0002436334399666507
2016-07-15,0.0001280119033764,0.00018732238228854917
2016-07-18,9.980837045345352e-05,0.00018664874742814933
2016-07-19,6.670098684778401e-05,0.00017942909255897786
2016-07-20,0.0001169894449479,0.00013969148492738536
2016-07-21,0.0001187004139295,0.00015126916611363895
2016-07-22,6.900010930245905e-05,0.00014548265283004897
2016-07-25,8.972933572017637e-05,0.00011915323937686016
2016-07-26,2.579181904093408e-05,0.00011691605410252304
2016-07-27,8.528859290513268e-05,6.18114335127576e-05
2016-07-28,6.293501255894337e-05,7.355115852052337e-05
2016-07-29,6.462306055668062e-05,6.9345814800846e-05
2016-08-01,7.760070877525404e-05,0.00015596271791812555
2016-08-02,0.0001398654159485,7.635597149686968e-05
2016-08-03,8.625829040102548e-05,0.00011765942925531881
2016-08-04,5.785184154315149e-05,7.868988079649709e-05
2016-08-05,3.406973326692493e-05,7.434245668520604e-05
2016-08-08,3.605884603883981e-05,5.443034157182377e-05
2016-08-09,3.432785991894168e-05,5.0596553234317585e-05
2016-08-10,3.9251661079819115e-05,5.2373480039834273e-05
2016-08-11,2.968037518591873e-05,5.5404451806279306e-05
2016-08-12,2.5394121123613277e-05,4.6978176618344797e-05
2016-08-15,5.963779185506859e-05,5.037599865800954e-05
2016-08-16,5.736011218866102e-05,7.139420806325688e-05
2016-08-17,2.5329570015884297e-05,6.54035854105272e-05
2016-08-18,6.045134694114589e-05,6.472241510569771e-05
2016-08-19,0.0001042945784459,6.487125795085489e-05
2016-08-22,5.734398764620082e-05,9.165682435651059e-05
2016-08-23,4.740936069048123e-05,7.738335664177887e-05
2016-08-24,6.05663111083877e-05,7.111345629601735e-05
2016-08-25,0.00010750574774,6.402403620949879e-05
2016-08-26,5.957542325528995e-05,8.845515775686701e-05
2016-08-29,3.704278133236895e-05,6.20418874524364e-05
2016-08-30,4.454777559691289e-05,5.024476160234947e-05
2016-08-31,7.7816526383221e-05,5.713480618180897e-05
2016-09-01,8.742737229184434e-05,8.511530407191374e-05
2016-09-02,2.5489610935255814e-05,7.71068328719517e-05
2016-09-05,4.1245510140717344e-05,5.279346219164435e-05
2016-09-06,5.893333808257708e-05,7.420081944904935e-05
2016-09-07,0.000116051764795,6.430755846908649e-05
2016-09-08,8.133020284784319e-05,7.676646206775212e-05
2016-09-09,0.000109075711622,6.875408246825557e-05
2016-09-12,7.609757110443477e-05,8.201181523834411e-05
2016-09-13,7.668175510311387e-05,8.919938935008204e-05
2016-09-14,7.881851653492917e-05,0.0001036588821465463
2016-09-15,8.220412229148972e-05,8.60711343247286e-05
2016-09-16,2.2915444739787783e-05,7.997580371937647e-05
2016-09-19,3.517531944792515e-05,4.781174415646624e-05
2016-09-20,3.872742570500875e-05,5.8179886095094976e-05
2016-09-21,4.5223299312026834e-05,5.106869584036543e-05
2016-09-22,3.158679523623141e-05,5.0447619395734714e-05
2016-09-23,5.8580203727927945e-05,6.2746567360655e-05
2016-09-26,8.127748447649537e-05,6.803076604351752e-05
2016-09-27,6.49659942618343e-05,6.260769404400631e-05
2016-09-28,7.056399575983866e-05,6.102368219407339e-05
2016-09-29,0.0002024095074863,8.856050986606249e-05
2016-09-30,1.6830419471148026e-05,0.00015927092935699155
2016-10-03,6.269700555193848e-05,6.388635157643877e-05
2016-10-04,5.231337842680469e-05,6.732651569167465e-05
2016-10-05,5.762678528739786e-05,7.507740288764035e-05
2016-10-06,0.0001022949176314,6.621211954694179e-05
2016-10-07,5.275992008896654e-05,6.826436386174702e-05
2016-10-10,4.291072958397141e-05,4.936454065706924e-05
2016-10-11,6.025666713656674e-05,6.0910271353195174e-05
2016-10-12,9.030600004175452e-05,8.73579600122147e-05
2016-10-13,4.458240093709509e-05,8.666109945938271e-05
2016-10-14,4.522190431433646e-05,6.417298202199433e-05
2016-10-17,2.9549970094956813e-05,6.71085326362326e-05
2016-10-18,2.1844203413039433e-05,4.908785277428314e-05
2016-10-19,5.1201121327380054e-05,2.9578809509170702e-05
2016-10-20,2.938618839427886e-05,4.2539430771850056e-05
2016-10-21,2.3564824366545496e-05,3.1289629809337134e-05
2016-10-24,2.7868643625797673e-05,2.8513721970785425e-05
2016-10-25,4.31375196435991e-05,3.690043647696473e-05
2016-10-26,9.549387738427454e-05,4.385527032713428e-05
2016-10-27,7.297412296927481e-05,6.14219345175658e-05
2016-10-28,3.9178933291231065e-05,8.469656876101901e-05
2016-10-31,6.599006431558282e-05,6.12908954221526e-05
2016-11-01,4.924686522666302e-05,6.62503484019526e-05
2016-11-02,5.6656382543796486e-05,5.215718565884153e-05
2016-11-03,4.2403793556643425e-05,7.607245210230239e-05
2016-11-04,5.223597600835327e-05,5.272035299024505e-05
2016-11-07,4.001142483515369e-05,5.438811484072108e-05
2016-11-08,0.0003191267473782,5.706146359445326e-05
2016-11-09,0.0001382759214839,0.0005949716783779541
2016-11-10,0.0001064944831087,0.00013661130735608914
2016-11-11,8.141803487188575e-05,0.00014246447963936316
2016-11-14,4.814512643652075e-05,9.308166502876865e-05
2016-11-15,8.366170815128343e-05,6.74133110480059e-05
2016-11-16,5.3490124726483866e-05,9.066949985742204e-05
2016-11-17,7.404611289045225e-05,7.234686933816793e-05
