,RV_actual,RV_forecast
2016-04-21,5.285423401950513e-05,9.320918256917551e-05
2016-04-22,8.072922492451358e-05,7.250100919355652e-05
2016-04-25,6.615018032214572e-05,9.120698615756494e-05
2016-04-26,5.869506409109005e-05,8.586817330634024e-05
2016-04-27,9.747323108214564e-05,7.156042113194216e-05
2016-04-28,0.0001465823345763,8.019006729424032e-05
2016-04-29,9.49354636700917e-05,0.00010468572635182704
2016-05-02,0.000104971983643,9.052876729053765e-05
2016-05-03,8.462797542712316e-05,9.586395424056589e-05
2016-05-04,9.322932475882608e-05,0.00010387005616881335
2016-05-05,0.000171945087101,0.00010518020469220914
2016-05-06,0.0001157076251394,0.00012906188397009596
2016-05-09,9.4510263471692e-05,0.00012278952845882224
2016-05-10,0.0001286391088613,0.00011100751949622478
2016-05-11,0.0001351417803126,0.00014329222235099837
2016-05-12,0.0001523596039145,0.0001408625922956765
2016-05-13,3.2793535365183516e-05,0.00016424089688994161
2016-05-16,0.0001231298436432,7.745572493805706e-05
2016-05-17,0.0001029839273537,0.0001230568539053501
2016-05-18,0.0001349743953929,0.00012164679212118823
2016-05-19,7.681011938012709e-05,0.00014338992400794547
2016-05-20,0.0001760648287833,9.835241603221734e-05
2016-05-23,7.64855864400628e-05,0.00013755852371753242
2016-05-24,5.028443074957498e-05,0.00010005647018244477
2016-05-25,5.612715342291293e-05,8.59959421279237e-05
2016-05-26,2.638448316011813e-05,7.018034884510522e-05
2016-05-27,1.849976577056911e-05,6.332181486538541e-05
2016-05-30,5.5796352267937055e-05,4.83665589648783e-05
2016-05-31,7.276680411360176e-05,5.807965335413141e-05
2016-06-01,7.182857555068032e-05,6.990020742947456e-05
2016-06-02,0.0001301422686445,8.222642477008103e-05
2016-06-03,4.8077220532651975e-05,9.260075015738311e-05
2016-06-06,5.437994494407601e-05,7.42378723862723e-05
2016-06-07,5.3049697563391456e-05,7.944402513650484e-05
2016-06-08,5.564130458406076e-05,6.670002502745581e-05
2016-06-09,0.0001253277884836,6.799974322168009e-05
2016-06-10,0.0001143422024297,8.53671840007478e-05
2016-06-13,0.0001414033212355,7.622363238651542e-05
2016-06-14,8.583610893609849e-05,0.00011722642982878799
2016-06-15,0.0001606533817775,0.000119358170379011
2016-06-16,0.0001444261578035,0.00012912545413101286
2016-06-17,0.0001540148721645,0.00013409253883664982
2016-06-20,0.0001033818123089,0.00016084527176118176
2016-06-21,8.468976017806533e-05,0.0001293486832022881
2016-06-22,0.0003127041612844,0.00011011143117006457
2016-06-23,0.0062272572807869,0.0003129731866839108
2016-06-24,0.0003338888393461,0.0015882888719649783
2016-06-27,0.0001944522711404,0.0006330854559648931
2016-06-28,0.00012518008458,0.0005099492995466095
2016-06-29,0.0002244528483643,0.0003795568304463766
2016-06-30,0.0001329190567126,0.0003806735813205046
2016-07-01,5.95428722118083e-05,0.00022298832995429986
2016-07-04,9.953972764709518e-05,0.000167565132056706
2016-07-05,0.0001444011275835,0.0001903064263825871
2016-07-06,0.0001058242641617,0.0001730601936601498
2016-07-07,0.0002152102266698,0.00015380189532392469
2016-07-08,0.0001163844818066,0.000202494990913115
2016-07-11,8.607745962498945e-05,0.0001622167457012463
2016-07-12,0.000388668271507,0.00015206369742397485
2016-07-13,0.0001100427441462,0.00028815454464798426
2016-07-15,0.0001280119033764,0.0001922914595751119
2016-07-18,9.980837045345352e-05,0.0001888983534549958
2016-07-19,6.670098684778401e-05,0.00017089951720775697
2016-07-20,0.0001169894449479,0.00015367830640501172
2016-07-21,0.0001187004139295,0.00015393116537755616
2016-07-22,6.900010930245905e-05,0.000147123652869937
2016-07-25,8.972933572017637e-05,0.00014408639432787488
2016-07-26,2.579181904093408e-05,0.00014006276119403683
2016-07-27,8.528859290513268e-05,7.020944070259332e-05
