,RVD_tot,RVW_tot,RVM_tot,logRVD_tot,logRVW_tot,logRVM_tot,RVD_pos_tot,RVD_neg_tot,RD_neg_tot,RW_neg_tot,RM_neg_tot,RQ_tot
1998-03-31,4.5254564612436466e-05,0.00013466772074083403,7.403028196574579e-05,-10.003207017492961,-8.912700141418446,-9.511036332712715,2.5028923638255673e-05,2.0225640974180793e-05,0.0,0.0,0.0,2.736621580378549e-09
1998-04-01,5.139986654109143e-05,0.0001339152579114728,7.368534423263998e-05,-9.875874981983346,-8.91830336171062,-9.515706635631329,3.460496252406911e-05,1.679490401702233e-05,0.0,0.0,0.0,2.7433938685678303e-09
1998-04-02,3.480755648905052e-05,0.0001292516428514215,7.346298736461975e-05,-10.265676054265471,-8.953749334007219,-9.518728851851565,2.3739103421075964e-05,1.106845306797456e-05,0.0,0.0,0.0,2.159688051334837e-09
1998-04-03,6.136265805030155e-05,4.987439303204876e-05,7.428811782894635e-05,-9.698709082901178,-9.906002852611783,-9.507559540577876,4.1089406969394896e-05,2.027325108090666e-05,0.0,0.0,0.0,4.887655795172839e-09
1998-04-06,0.00011842808492940757,6.22505461244575e-05,7.692107391332527e-05,-9.04120465984707,-9.684343249574285,-9.47273067590947,0.00010987996572090634,8.548119208501221e-06,0.0,0.0,0.0,1.0389775406792046e-08
1998-04-07,7.323328460140915e-05,6.784629012225204e-05,7.618966463087784e-05,-9.521860532675689,-9.598265850816414,-9.482284739236283,2.332815285581492e-05,4.9905131745594236e-05,-0.016838536157968098,0.0,0.0,9.260186809279866e-09
1998-04-08,8.262254220275865e-05,7.409082525458548e-05,7.564762701373625e-05,-9.40122800664625,-9.510218849055624,-9.489424486183081,2.7903516669255018e-05,5.471902553350365e-05,-0.011596495693191149,0.0,0.0,2.642180298680416e-08
1998-04-09,0.00011091762377130236,8.931283871103584e-05,7.810248113087693e-05,-9.106722760351847,-9.323365309855506,-9.457488732982057,5.3170324362266234e-05,5.774729940903612e-05,0.0,0.0,0.0,6.15704168644601e-08
1998-04-15,0.0001359546880791042,0.00010423124471679637,8.22579329860638e-05,-8.90318890363258,-9.168898620263851,-9.405650723291178,0.00010594189562731494,3.0012792451789258e-05,0.0,0.0,0.0,1.0743436875038433e-08
1998-04-16,7.914572500701012e-05,9.637477273231689e-05,8.362505716908301e-05,-9.444219784378163,-9.247266084243696,-9.389167355879845,2.9938989270188012e-05,4.9206735736822116e-05,-0.013175969076820008,-0.005821162698148107,0.0,9.327176347787891e-09
